epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.4572,1.83313,2.12079,1.64978,0.59662,0.18725,0.26217,0.09671,2.17149,3.05133,1.97071,0.0669205,3.31126e-05,3.31126e-05
2,116.501,1.69215,1.51265,1.53626,0.699,0.62647,0.68133,0.3452,1.6193,1.31085,1.48661,0.0336202,6.6117e-05,6.6117e-05
3,171.541,1.5987,1.31516,1.45564,0.82584,0.69706,0.80009,0.40977,1.58467,1.16287,1.4125,0.000319542,9.87914e-05,9.87914e-05
4,227.353,1.56105,1.24652,1.4275,0.8158,0.70098,0.80411,0.42032,1.54918,1.15301,1.38024,9.8515e-05,9.8515e-05,9.8515e-05
5,280.299,1.54873,1.19297,1.42128,0.8366,0.6951,0.80105,0.45498,1.47331,1.04363,1.35271,9.802e-05,9.802e-05,9.802e-05
6,335.733,1.51489,1.1382,1.39547,0.86271,0.75392,0.84988,0.47406,1.45078,0.95755,1.3335,9.7525e-05,9.7525e-05,9.7525e-05
7,389.763,1.49183,1.10475,1.37431,0.8273,0.74216,0.83041,0.4285,1.59734,0.99752,1.41483,9.703e-05,9.703e-05,9.703e-05
8,445.206,1.47656,1.0681,1.36379,0.8633,0.77157,0.86377,0.49499,1.4274,0.89348,1.30358,9.6535e-05,9.6535e-05,9.6535e-05
9,501.556,1.44,1.03276,1.34113,0.8583,0.78529,0.87434,0.49395,1.40953,0.88358,1.28109,9.604e-05,9.604e-05,9.604e-05
10,557.921,1.45171,1.01977,1.33406,0.85817,0.78301,0.8676,0.49874,1.40205,0.84231,1.28181,9.5545e-05,9.5545e-05,9.5545e-05
11,613.948,1.43017,0.98711,1.32967,0.85226,0.7951,0.87326,0.51411,1.38318,0.84018,1.26896,9.505e-05,9.505e-05,9.505e-05
12,670.84,1.42405,0.98236,1.32655,0.86138,0.81275,0.88468,0.51616,1.3822,0.81924,1.25731,9.4555e-05,9.4555e-05,9.4555e-05
13,727.698,1.4157,0.9774,1.31717,0.88845,0.81765,0.90283,0.53416,1.34683,0.78339,1.24569,9.406e-05,9.406e-05,9.406e-05
14,783.344,1.38848,0.93811,1.30559,0.87404,0.80588,0.89075,0.49117,1.46149,0.79291,1.3073,9.3565e-05,9.3565e-05,9.3565e-05
15,840.692,1.36836,0.9173,1.29196,0.85951,0.82255,0.88931,0.52055,1.37407,0.79911,1.25805,9.307e-05,9.307e-05,9.307e-05
16,898.13,1.37795,0.90504,1.28669,0.85124,0.82469,0.8914,0.535,1.34799,0.77004,1.24186,9.2575e-05,9.2575e-05,9.2575e-05
17,955.751,1.36459,0.90071,1.28176,0.89549,0.80882,0.89914,0.50887,1.41141,0.78933,1.26342,9.208e-05,9.208e-05,9.208e-05
18,1012,1.346,0.88298,1.26839,0.88245,0.81569,0.90235,0.53543,1.35527,0.74924,1.2409,9.1585e-05,9.1585e-05,9.1585e-05
19,1069.29,1.34781,0.87665,1.27409,0.85488,0.81078,0.88667,0.50238,1.41046,0.79733,1.26309,9.109e-05,9.109e-05,9.109e-05
20,1123.71,1.34898,0.86356,1.26967,0.88629,0.80784,0.90175,0.51962,1.40353,0.72986,1.2515,9.0595e-05,9.0595e-05,9.0595e-05
21,1178.31,1.33282,0.85891,1.26544,0.86017,0.83431,0.90226,0.53625,1.33497,0.73832,1.2369,9.01e-05,9.01e-05,9.01e-05
22,1235.68,1.31921,0.84089,1.25557,0.88371,0.82843,0.90819,0.54736,1.33986,0.71233,1.21633,8.9605e-05,8.9605e-05,8.9605e-05
23,1292.38,1.32897,0.84282,1.2611,0.89107,0.83137,0.91698,0.55415,1.32302,0.69018,1.20716,8.911e-05,8.911e-05,8.911e-05
24,1359.48,1.3221,0.81865,1.24792,0.90064,0.82843,0.91652,0.55054,1.32518,0.71434,1.21453,8.8615e-05,8.8615e-05,8.8615e-05
25,1423.93,1.30512,0.82165,1.24404,0.89772,0.82609,0.90816,0.5384,1.32959,0.71666,1.21192,8.812e-05,8.812e-05,8.812e-05
26,1492.08,1.30253,0.8162,1.2465,0.87514,0.85294,0.91297,0.55291,1.32285,0.68918,1.21622,8.7625e-05,8.7625e-05,8.7625e-05
27,1566.36,1.30132,0.80579,1.24009,0.88553,0.8343,0.91203,0.55011,1.31725,0.69923,1.20997,8.713e-05,8.713e-05,8.713e-05
28,1642.16,1.29874,0.79459,1.24191,0.89685,0.86078,0.92301,0.56517,1.29101,0.66019,1.18752,8.6635e-05,8.6635e-05,8.6635e-05
29,1710.04,1.28317,0.78748,1.23411,0.87354,0.84314,0.91139,0.547,1.32897,0.68568,1.20863,8.614e-05,8.614e-05,8.614e-05
30,1766.65,1.27728,0.79094,1.2277,0.86301,0.85232,0.90781,0.55023,1.30608,0.68236,1.20883,8.5645e-05,8.5645e-05,8.5645e-05
31,1822.9,1.2681,0.77424,1.2198,0.87366,0.86176,0.92113,0.55442,1.30624,0.68716,1.19977,8.515e-05,8.515e-05,8.515e-05
32,1877.19,1.26562,0.76439,1.21855,0.88079,0.84706,0.91733,0.56424,1.29467,0.66138,1.19258,8.4655e-05,8.4655e-05,8.4655e-05
33,1935.01,1.2673,0.76747,1.21881,0.91528,0.83824,0.92261,0.57382,1.28082,0.65033,1.18914,8.416e-05,8.416e-05,8.416e-05
34,1990.63,1.26889,0.77583,1.22477,0.9096,0.85098,0.92841,0.57851,1.26367,0.63777,1.17851,8.3665e-05,8.3665e-05,8.3665e-05
35,2047.64,1.25154,0.76004,1.21338,0.90428,0.84281,0.92907,0.57462,1.27435,0.64041,1.18255,8.317e-05,8.317e-05,8.317e-05
